Distance (63 steps),Distance (126 steps),Distance (189 steps)
31.5008190007824,63.00305136943222,94.50669644312363
31.50091324060225,63.00338117771929,94.50740307527316
31.501009723935248,63.00371547143205,94.5081164318935
31.501108450760793,63.00405425049915,94.50883651283242
31.50120942105778,63.004397514848236,94.50956331793616
31.50131263480463,63.00474526440597,94.51029684704964
31.501418091979314,63.0050974990981,94.51103710001631
31.50152579255928,63.005454218849394,94.51178407667813
31.501635736521525,63.005815423583684,94.51253777687572
31.501747923842572,63.006181113223846,94.51329820044818
31.50186235449843,63.00655128769176,94.51406534723328
31.501979028464667,63.00692594690839,94.51483921706728
31.50209794571635,63.007305090793736,94.51561980978506
31.502219106228093,63.00768871926684,94.51640712522003
31.50234250997399,63.0080768322458,94.51720116320422
31.50246815692769,63.008469429647725,94.51800192356816
31.50259604706235,63.00886651138879,94.51880940614105
31.502726180350653,63.00926807738424,94.51962361075054
31.5028585567648,63.009674127548315,94.52044453722299
31.502993176276505,63.01008466179433,94.52127218538321
31.50313003885702,63.010499680034656,94.52210655505463
31.50326914447712,63.01091918218066,94.5229476460593
31.50341049310707,63.0113431681428,94.52379545821773
31.503554084716697,63.011771637830584,94.52464999134912
31.50369991927532,63.012204591152525,94.5255112452712
31.503847996751805,63.01264202801622,94.52637921980022
31.503998317114505,63.01308394832827,94.5272539147511
31.504150880331334,63.013530351994376,94.52813532993726
31.504305686369698,63.01398123891922,94.52902346517065
31.504462735196526,63.014436609006616,94.52991832026197
31.504622026778296,63.01489646215932,94.53081989502033
31.504783561080977,63.01536079827922,94.53172818925347
31.504947338070078,63.0158296172672,94.53264320276772
31.50511335771062,63.01630291902322,94.53356493536793
31.505281619967153,63.01678070344625,94.53449338685759
31.50545212480374,63.01726297043437,94.53542855703873
31.505624872183972,63.01774971988463,94.536370445712
31.505799862070965,63.01824095169318,94.53731905267651
31.50597709442735,63.01873666575519,94.5382743777301
31.5061565692153,63.019236861964906,94.53923642066907
31.506338286396456,63.01974154021558,94.54020518128831
31.506522245932047,63.020250700399544,94.54118065938138
31.50670844778279,63.020764342408164,94.5421628547403
31.506896891908934,63.021282466131865,94.54315176715575
31.507087578270234,63.021805071460086,94.54414739641693
31.507280506825982,63.02233215828135,94.54514974231162
31.507475677535,63.02286372648323,94.54615880462623
31.50767309035561,63.02339977595231,94.54717458314572
31.50787274524567,63.023940306574254,94.54819707765358
31.508074642162565,63.024485318233765,94.54922628793199
31.508278781063186,63.02503481081459,94.55026221376157
31.50848516190397,63.02558878419953,94.55130485492164
31.508693784640847,63.02614723827042,94.55235421119002
31.508904649229297,63.02671017290815,94.55341028234314
31.509117755624317,63.02727758799272,94.55447306815603
31.509333103780396,63.02784948340305,94.55554256840223
31.509550693651597,63.028425859017226,94.55661878285395
31.509770525191477,63.02900671471234,94.55770171128191
31.5099925983531,63.02959205036451,94.55879135345546
31.510216913089092,63.030181865848924,94.55988770914246
31.510443469351564,63.03077616103984,94.56099077810944
31.51067226709218,63.031374935810526,94.56210056012145
31.51090330626211,63.03197819003334,94.56321705494217
31.51113658681205,63.03258592357967,94.56434026233377
31.51137210869224,63.033198136319925,94.5654701820571
31.51160987185239,63.03381482812364,94.56660681387159
31.511849876241772,63.034435998859315,94.56775015753516
31.512092121809207,63.03506164839454,94.56890021280438
31.512336608502995,63.03569177659598,94.57005697943443
31.512583336270968,63.03632638332931,94.57122045717898
31.512832305060478,63.03696546845926,94.57239064579038
31.513083514818415,63.03760903184965,94.57356754501954
31.513336965491202,63.03825707336329,94.57475115461587
31.513592657024763,63.0389095928621,94.57594147432748
31.513850589364548,63.039566590207016,94.57713850390103
31.514110762455548,63.04022806525804,94.57834224308169
31.51437317624224,63.040894017874216,94.57955269161334
31.514637830668686,63.04156444791364,94.58076984923835
31.514904725678416,63.042239355233484,94.58199371569768
31.515173861214496,63.04291873968993,94.58322429073095
31.51544523721955,63.04360260113824,94.58446157407631
31.51571885363568,63.04429093943274,94.58570556547049
31.51599471040454,63.044983754426795,94.58695626464878
31.516272807467324,63.045681045972785,94.58821367134517
31.51655314476469,63.04638281392221,94.58947778529215
31.516835722236877,63.04708905812558,94.59074860622076
31.517120539823637,63.04779977843247,94.59202613386073
31.517407597464224,63.04851497469151,94.5933103679403
31.517696895097448,63.04923464675039,94.59460130818638
31.517988432661607,63.04995879445584,94.59589895432434
31.51828221009456,63.05068741765364,94.59720330607828
31.518578227333666,63.05142051618863,94.59851436317076
31.518876484315847,63.05215808990473,94.59983212532305
31.51917698097748,63.05290013864487,94.6011565922549
31.519479717254534,63.05364666225108,94.60248776368478
31.519784693082464,63.05439766056441,94.60382563932957
31.520091908396257,63.05515313342496,94.6051702189049
31.520401363130443,63.055913080671914,94.60652150212495
31.520713057219083,63.05667750214351,94.60787948870247
31.52102699059571,63.057446397677026,94.60924417834877
31.521343163193443,63.05821976710878,94.61061557077383
31.521661574944886,63.0589976102742,94.61199366568614
31.521982225782196,63.05977992700769,94.61337846279287
31.52230511563704,63.060566717142784,94.61476996179971
31.522630244440627,63.06135798051206,94.61616816241099
